level,title,start_page,end_page,parent_chapter,major_chapter
4,Rename Object or User-defined Attribute,472,474,Home Ribbon Tab,9. Plant Simulation User Interface
5,Rename [Home ribbon],472,473,Rename Object or User-defined Attribute,9. Plant Simulation User Interface
5,Replace Only in Local Methods,474,474,Rename Object or User-defined Attribute,9. Plant Simulation User Interface
4,Edit 3D Properties,475,902,Home Ribbon Tab,9. Plant Simulation User Interface
5,Edit 3D Properties [Home Ribbon],475,475,Edit 3D Properties,9. Plant Simulation User Interface
5,Edit 3D Properties,475,902,Edit 3D Properties,9. Plant Simulation User Interface
6,Edit 3D Properties [dialog],475,479,Edit 3D Properties,9. Plant Simulation User Interface
6,Change Settings with Mouse Wheel or Keyboard Keys,480,481,Edit 3D Properties,9. Plant Simulation User Interface
6,Name [text box] - 3D properties,482,482,Edit 3D Properties,9. Plant Simulation User Interface
6,Tab Appearance of Objects and MUs,483,497,Edit 3D Properties,9. Plant Simulation User Interface
7,Appearance of Objects and MUs,483,488,Tab Appearance of Objects and MUs,9. Plant Simulation User Interface
